CONFIG0001	false
ANITEM0025	Ein abtegrennter Arm ... Großartig!
; Use left arm
ANITEM0026	Ich kann damit nicht soviel machen.

; Look at leg
ANITEM0027	Das Bein, daß ich im Kühlraum abgeschlagen habe.
; Use leg
ANITEM0028	Es fühlt sich immer noch etwas kalt an.

; Look at mirror
ANITEM0029	Ein polierter Spiegel.
; Use mirror
ANITEM0030	Er sieht glatt aus. Ich möche nicht riskieren, ihn zu beschmutzen.

; Look at note
; IMPORTANT NOTE: In English the first letters of the words Patience While You Grill Bacon Rind
; correspond to Purple White Yellow Green Blue Red on the droid control computer. You will need
; a nonsensical message that has words starting with the same letter as the words for those
; colours in your language for the riddle to work. I'm not sure how best to handle this in pictorial
; languages like Chinese/Japanese.
ANITEM0031	Das ist eine Notiz, die ich gefunden habe. Da steht: 'Linden werden gesellig, graben bleibende Rosenbeete'. Das ist sonderbar. Ich frage mich, was das bedeuten soll.
; Use note
ANITEM0032	Ich könnte daraus einen schönen Papierflieger falten, aber ich glaube, ich brauche sie später noch.

; Look at override key
ANITEM0033	Das ist ein Kontrollschlüssel
; Use override key
ANITEM0034	Ich muß das System finden, zu dem er gehört.

; Look at right arm
ANITEM0035	Ein menschlicher Arm.
; Use right arm
ANITEM0036	Er ist ein wenig weich.

; Look at sample dish
ANITEM0037	Irgendeine Gewebeprobe in einem Luftdichten Objektträger. Beschriftet mit 'Kommandant Trend'. Ich habe gehört, sowas ist schwer zu finden.
; Use sample dish
ANITEM0038	Ich möchte das nicht aufmachen, ich würde riskieren, die Probe zu beschädigen.

; Look at scalpel
ANITEM0039	Das ist ein rostiges und stumpfes Skalpell
; Use scalpel
ANITEM0040	Es ist nicht sehr scharf, aber ich sollte trotzdem vorsichtig sein damit. Wer weiß, wofür es zuletzt benutzt wurde?

; Look at steel box
ANITEM0041	Eine stählerne Kiste, die zugeschweißt wurde.
; Use steel box
ANITEM0042	Ich kann sie nicht öffnen. Ich frage mich, was darin ist.
; Use scalpel on steel box
ANITEM0043	Verammt. Sieht so aus, als wäre sie zugeschweißt. Selbst die Axt kann eine derart stabile Kiste nicht zerstören.
; Use axe on steel box
ANITEM0044	Sie ist zugeschweißt. Ich zerbreche eher das Skalpell, als daß ich die Kiste aufgehebelt kriege.
; Use fire extinguisher on steel box
ANITEM0045	Sie brennt nicht, sie ist nur verschlossen. Das macht also keinen Sinn.

; Look at torso
ANITEM0046	Das ist ein kompletter menschlicher Torso. Sogar ich bin überrascht, daß ich sowas herumtragen kann.
; Use torso
ANITEM0047	Es gibt nichts, was ich damit tun möchte.

; Look at VCR tape
ANITEM0048	Eine unbeschriftete Videokassette
; Use VCR tape
ANITEM0049	Ich brauche einen Videorecorder, um mir die anzusehen.


; //////////////////////////////////////////////////////////////////////
; A2 - ITEM NAMES
; //////////////////////////////////////////////////////////////////////

; Names of game items
ITEMIS0001	Axt
ITEMIS0002	Sprengstoff
ITEMIS0003	Feuerlöscher
ITEMIS0004	ID-Karte
ITEMIS0005	Kontrollschlüssel
ITEMIS0006	Batterie
ITEMIS0007	Decke
ITEMIS0008	Umschlag
ITEMIS0009	Video-CD #1
ITEMIS0010	Video-CD #2
ITEMIS0011	Video-CD #3
ITEMIS0012	Dr Salt
ITEMIS0013	Augen
ITEMIS0014	Kopf
ITEMIS0015	Laserbrenner
ITEMIS0016	Rechter Arm
ITEMIS0017	Bein
ITEMIS0018	Spiegel
ITEMIS0019	Notiz
ITEMIS0020	Linker Arm
ITEMIS0021	Objektträger
ITEMIS0022	Skalpell
ITEMIS0023	Stahlkiste
ITEMIS0024	Torso
ITEMIS0025	Videokassette

; //////////////////////////////////////////////////////////////////////
; A3 - MISSED WORDS
; //////////////////////////////////////////////////////////////////////

; Text for the analyser in the computer room
EXTRAS0001	Platte
EXTRAS0002	Draht
EXTRAS0003	Verlassen
EXTRAS0004	Analysegerät
